ADDR_NUM,ADDR_DIR,ADDR_NAME,TRACT,BLOCK,CIRCUMFERENCE,SPECIES,DIAMETER,GRF,AGE,NOTE,
1256,W,VICTORIA,,,89,MULBERRY,28,2.3,64,,
1256,W,VICTORIA,,,86,SILVER MAPLE,27,3,81,,
1224,W,VICTORIA,,,85,WHITE ASH,27,5,135,,
1221,W,VICTORIA,,,79,SILVER MAPLE,25,3,75,,
1237,W,VICTORIA,,,72,SILVER MAPLE,23,3,69,,
1245,W,VICTORIA,,,94,SILVER MAPLE,30,3,90,,
1247,W,VICTORIA,,,120,SILVER MAPLE,38,3,114,,
1261,W,VICTORIA,,,58,NORWAY MAPLE,18,4.5,81,,
1265,W,VICTORIA,,,52,NORWAY MAPLE,17,4.5,77,,
1265,W,VICTORIA,,,59,WHITE ASH,19,5,95,,
1269,W,VICTORIA,,,72,HORSE CHESTNUT,23,8,184,,
1273,W,VICTORIA,,,50,NORWAY MAPLE,16,4.5,72,,
1275,W,VICTORIA,,,54,NORWAY MAPLE,17,4.5,77,,
1277,W,VICTORIA,,,63,HONEY LOCUST,20,3,60,,
1277,W,VICTORIA,,,55.5,WHITE ASH,18,5,90,,
5810,N,WAYNE,,,58,WHITE ASH,18,5,90,,
5812,N,WAYNE,,,61,WHITE ASH,19,5,95,,
5814,N,WAYNE,,,110,AMERICAN ELM,35,4,140,,
5826,N,WAYNE,,,63,NORWAY MAPLE,20,4.5,90,SOUTH PARKWAY TREE,
5826,N,WAYNE,,,68,NORWAY MAPLE,22,4.5,99,NORTH PARKWAY TREE,
5832,N,WAYNE,,,136,HONEY LOCUST,43,3,129,,
5836,N,WAYNE,,,51,NORWAY MAPLE,16,4.5,72,,
5840,N,WAYNE,,,74,HONEY LOCUST,24,3,72,SOUTH PARKWAY TREE,
5825,N,WAYNE,,,162,SILVER MAPLE,52,3,156,,
5815,N,WAYNE,,,60,NORWAY MAPLE,19,4.5,86,SECOND TREE NORTH OF DOOR,
5815,N,WAYNE,,,58,NORWAY MAPLE,18,4.5,81,FIRT TREE NORTH OF DOOR,
5815,N,WAYNE,,,39,NORWAY MAPLE,12,4.5,54,FIRST TREE SOUTH OF DOOR,
5815,N,WAYNE,,,60,NORWAY MAPLE,19,4.5,86,SECOND TREE SOUTH OF DOOR,
1290,W,EARLY,,,65,NORWAY MAPLE,21,4.5,95,CORNER OF WAYNE & EARLY,
1281,W,EARLY,,,58,SILVER MAPLE,18,3,54,SE CORNER WAYNE & EARLY,
1281,W,EARLY,,,106,SILVER MAPLE,34,3,102,ACROSS FROM ALLEY ENTRANCE,
1279,W,EARLY,,,67,HONEY LOCUST,21,3,63,REAR OF BUILDING ON WAYNE,
5705,N,WAYNE,,,56,WHITE ASH,18,5,90,,
5710,N,WAYNE,,,45,NORWAY MAPLE,14,4.5,63,SOUTH PARKWAY TREE,
5710,N,WAYNE,,,45,NORWAY MAPLE,14,4.5,63,NORTH PARKWAY TREE,
5720,N,WAYNE,,,79,SILVER MAPLE,25,3,75,,
5720,N,WAYNE,,,90,AMERICAN ELM,29,4,116,,
5722,N,WAYNE,,,103,SILVER MAPLE,33,3,99,,
5734,N,WAYNE,,,113,SILVER MAPLE,36,3,108,,

BROKEN! NEEDS FIXING: ,,,,,82,SIVER MAPLE,26.1,3,78,BERGER PARK
BROKEN! NEEDS FIXING: ,,,,,113,COMMON MULBERRY,36.0,2.3,83,BERGER PARK
BROKEN! NEEDS FIXING: ,,,,,93,HONEY LOCUST,29.6,3,89,BERGER PARK
BROKEN! NEEDS FIXING: ,,,,,78.5,NORWAY MAPLE,25.0,4.5,113,BERGER PARK
BROKEN! NEEDS FIXING: ,,,,,158,RED MULBERRY,50.3,2.3,116,BERGER PARK
BROKEN! NEEDS FIXING: ,,,,,97,SLIPPERY ELM,30.9,4,124,BERGER PARK
BROKEN! NEEDS FIXING: ,,,,,95,NORWAY MAPLE,30.3,4.5,136,BERGER PARK
BROKEN! NEEDS FIXING: ,,,,,114,NORWAY MAPLE,36.3,4.5,163,BERGER PARK
5400,N,WAYNE,308,2006,93,HONEY LOCUST,29.6,3,89,NE CORNER PARKWAY
5400,N,WAYNE,308,2006,98,HONEY LOCUST,31.2,3,94,N PARKWAY
1354,W,BALMORAL,308,2007,84,AMERICAN ELM?,26.7,4,107,MID PARKWAY
1354,W,BALMORAL,308,,74,HONEY LOCUST,23.6,3,71,NW SIDE
1354,W,BALMORAL,308,,73,SLIVER MAPLE,23.2,3,70,CORNER
1408,W,BALMORAL,308,,88,SLIVER MAPLE,28,3,84,WEST END
1420,W,BALMORAL,308,,104,SLIVER MAPLE,33.1,3,99,
1428,W,BALMORAL,308,,86,HONEY LOCUST,27.4,4.5,119,
1436,W,BALMORAL,308,,80,SLIVER MAPLE,25.5,3,82,
1438,W,BALMORAL,308,,60,GR OR WHITE ASH,19.1,5,95,TREE TAGGED TWICE
1448,W,BALMORAL,308,,67,NORWAY MAPLE,21.3,4.5,107,
1460,W,BALMORAL,308,2014,59,NORWAY MAPLE,18.8,4.5,84,
1472,W,BALMORAL,308,,66,HONEY LOCUST,21,3,63,BY LESCAS GARDEN
1341,W,BALMORAL,308,,65,SILVER MAPLE,21,3,62,
1351,W,BALMORAL,308,,64,SILVER MAPLE,20,3,61,
1355,W,BALMORAL,308,,71,SILVER MAPLE,22,3,68,WEST EMD
1401,W,BALMORAL,308,,53,ASH,17,5,84,
1415,W,BALMORAL,308,3008,94,SLIVER MAPLE,30,3,90,
1419,W,BALMORAL,308,,64,SLIVER MAPLE,20,3,61,
1421,W,BALMORAL,308,,67,HONEY LOCUST,21,3,64,
1431,W,BALMORAL,308,,66,NORWAY MAPLE?,21,4.5,94,
1459,W,BALMORAL,308,,56,NORWAY MAPLE?,18,4.5,80,
1469,W,BALMORAL,308,3009,60,HONEY LOCUST,18,3,57,
5527,N,GLENWOOD,308,,103,HONEY LOCUST,33,3,99,
5521,N,GLENWOOD,308,,41,NORWAY MAPLE,13,4.5,59,
5519,N,GLENWOOD,308,,60,NORWAY MAPLE,19,4.5,86,
5517,N,GLENWOOD,308,,48,HONEY LOCUST,15,3,45,
5511,N,GLENWOOD,308,,70,AMERICAN ELM,22,4,88,
5505,N,GLENWOOD,308,1007,86,GREEN ASH,27,4,108,
5506,N,GLENWOOD,308,,89,SILVER MAPLE,28,3,84,
5508,N,GLENWOOD,308,,100,AMERICAN ELM,32,4,128,
5512,N,GLENWOOD,308,,53,AMERICAN ELM,17,4,68,
5514,N,GLENWOOD,308,,114,SILVER MAPLE,36,3,108,
5518,N,GLENWOOD,308,,50,HONEY LOCUST,16,3,48,
5520,N,GLENWOOD,308,,44,RED MAPLE,14,4.5,63,
5536,N,GLENWOOD,308,,59,WHITE ASH,19,5,95,
5538,N,GLENWOOD,308,,64,WHITE ASH,20,5,100,
5540,N,GLENWOOD,308,,53,BURR OAK,17,5,85,
5542,N,GLENWOOD,308,,51,WHITE ASH,16,5,80,
5544,N,GLENWOOD,308,,35,RED MAPLE,11,4.5,50,
5550,N,GLENWOOD,308,,43,RED MAPLE,14,4.5,63,
BROKEN! NEEDS FIXING: 5550,N,GLENWOOD,308,,84,???,27,,0,JUST NORTH
5550,N,GLENWOOD,308,,41,COMMON HACKBERRY,13,2,26,PARKING LOT
5550,N,GLENWOOD,308,,40,COMMON HACKBERRY,13,2,26,          
BROKEN! NEEDS FIXING: 0,W,INVALID,,,33,AMERICAN ELM,11,4,44,EAST SIDE OF GREGORY ON GLENWOOD AROUND THE CORNER FROM 1355 BRYN MAWR
5553,N,GLENWOOD,,,33,NORWAY MAPLE,11,4.5,50,
5551,N,GLENWOOD,,,68,HONEY LOCUST,22,3,66,
5549,N,GLENWOOD,,,87,HONEY LOCUST,28,3,84,
5537,N,GLENWOOD,,,97,HONEY LOCUST,31,3,93,
5401,N,GLENWOOD,,,86,HONEY LOCUST,27,3,81,
5411,N,GLENWOOD,,,88,AMERICAN ELM,28,4,112,
5417,N,GLENWOOD,,,78,HONEY LOCUST,25,3,75,
5417,N,GLENWOOD,,,101,HONEY LOCUST,32,3,96,
5419,N,GLENWOOD,,,45,SILVER MAPLE,14,3,42,
5421,N,GLENWOOD,,,87,HONEY LOCUST,28,3,84,
5425,N,GLENWOOD,,,85,SILVER MAPLE,27,3,81,
5426,N,GLENWOOD,,,58,WHITE ASH,18,5,90,ON CORNER OF GLENWWOD AROUND THE CORNER FROM 1403 RASCHER
BROKEN! NEEDS FIXING: 0,W,INVALID,,,53,GREEN ASH,17,4,68,???
5418,N,GLENWOOD,,,57,GREEN ASH,18,4,72,
5416,N,GLENWOOD,,,60,HONEY LOCUST,19,3,57,
5412,N,GLENWOOD,,,35,GREEN ASH,11,4,44,
5410,N,GLENWOOD,,,39,NORWAY MAPLE,12,4.5,54,
5410,N,GLENWOOD,,,57,GREEN ASH,18,4,72,
5400,N,GLENWOOD,,,83,SILVER MAPLE,26,3,78,
5432,N,GLENWOOD,,,55,HONEY LOCUST,18,3,54,
5434,N,GLENWOOD,,,92,SILVER MAPLE,29,3,87,
5442,N,GLENWOOD,,,69,WHITE ASH,22,5,110,
5444,N,GLENWOOD,,,64,WHITE ASH,20,5,100,
5448,N,GLENWOOD,,,59,NORWAY MAPLE,19,4.5,86,
5452,N,GLENWOOD,,,43,AMERICAN ELM,14,4,56,
5455,N,GLENWOOD,,,85,HONEY LOCUST,27,3,81,ON GLENWWOD AROUND THE CORNER FROM CATALPA -NORTH OF 5455 GLENWOOD
5449,N,GLENWOOD,,,98,SILVER MAPLE,31,3,93,
5445,N,GLENWOOD,,,58,RED MAPLE,18,4.5,81,
5439,N,GLENWOOD,,,46,WHITE ASH,15,5,75,
5437,N,GLENWOOD,,,39,WHITE ASH,12,5,60,
5433,N,GLENWOOD,,,67,WHITE ASH,21,5,105,
5431,N,GLENWOOD,,,32,GREEN ASH,10,4,40,
5302,N,GLENWOOD,,,58,HONEY LOCUST,18,3,54,
5306,N,GLENWOOD,,,51,WHITE ASH,16,5,80,
5308,N,GLENWOOD,,,37,NORWAY MAPLE,12,4.5,54,
5314,N,GLENWOOD,,,58,WHITE ASH,18,5,90,
5318,N,GLENWOOD,,,62,HONEY LOCUST,20,3,60,
5322,N,GLENWOOD,,,87,SILVER MAPLE,28,3,84,
5325,N,GLENWOOD,,,34,HONEY LOCUST,11,3,33,TWO TREES TOGTHER
5325,N,GLENWOOD,,,42,HONEY LOCUST,13,3,39,TWO TREES TOGTHER
5311,N,GLENWOOD,,,67,WHITE ASH,21,5,105,PROPERTY LINE BETWEEN
5311,N,GLENWOOD,,,62,WHITE ASH,20,5,100,
5305,N,GLENWOOD,,,87,AMERICAN ELM,28,4,112,
BROKEN! NEEDS FIXING: 5305,N,GLENWOOD,,,43,FIELD ELM,14,,0,SOUTH OF 5305 AROUND CORNER
1354,W,SUMMERDALE,,,31,AMERICAN ELM,10,3,30,ON GLENWOOD CORNER
1400,W,SUMMERDALE,,,73,COMMON HACKBERRY,23,2,46,AROUND CORNER ON GLENWOOD
5338,N,GLENWOOD,,,59,NORWAY MAPLE,19,4.5,86,
5342,N,GLENWOOD,,,50,NORWAY MAPLE,16,4.5,72,
5346,N,GLENWOOD,,,44,NORWAY MAPLE,14,4.5,63,
5350,N,GLENWOOD,,,79,SILVER MAPLE,25,3,75,
5354,N,GLENWOOD,,,37,NORWAY MAPLE,12,4.5,54,
5356,N,GLENWOOD,,,47,NORWAY MAPLE,15,4.5,68,
1355,W,BALMORAL,,,115,SILVER ELM,37,2,74,ON GLENWOOD CORNER
5355,N,GLENWOOD,,,80,HONEY LOCUST,25,3,75,
5351,N,GLENWOOD,,,86,HONEY LOCUST,27,3,81,
5345,N,GLENWOOD,,,122,HONEY LOCUST,39,3,117,
5345,N,GLENWOOD,,,86,SIVER MAPLE,27,3,81,
5200,N,WINTHROP,307,1003,81,HONEY LOCUST,25.8,3,77,
5206,N,WINTHROP,307,,85,HONEY LOCUST,27.1,3,81,
5206,N,WINTHROP,307,,111,HONEY LOCUST,35.4,3,106,
5207,N,WINTHROP,307,1004,63,SILVER MAPLE,20.1,3,60,
5217,N,WINTHROP,307,,93,HONEY LOCUST,29.6,3,89,
5223,N,WINTHROP,307,,80,HONEY LOCUST,25.5,3,77,
5224,N,WINTHROP,307,,64,HONEY LOCUST,20.4,3,61,
5227,N,WINTHROP,307,,81,HONEY LOCUST,25.8,3,77,
5228,N,WINTHROP,307,1003,75,HONEY LOCUST,23.9,3,72,
5235,N,WINTHROP,307,,69,HONEY LOCUST,22.0,3,66,
5235,N,WINTHROP,307,,66,HONEY LOCUST,21.0,3,63,
5240,N,WINTHROP,307,,80,HONEY LOCUST,25.5,3,77,
5248,N,WINTHROP,307,,90,HONEY LOCUST,28.7,3,86,
5309,N,WINTHROP,307,,67,HONEY LOCUST,21.3,3,64,
5321,N,WINTHROP,307,,89,HONEY LOCUST,28.3,3,85,
5330,N,WINTHROP,307,,85,HONEY LOCUST,27.1,3,81,
5327,N,WINTHROP,307,,97,HONEY LOCUST,30.9,3,93,
5331,N,WINTHROP,307,,72,HONEY LOCUST,22.9,3,69,
5339,N,WINTHROP,307,,60,HONEY LOCUST,19.1,3,57,
5346,N,WINTHROP,307,,97,HONEY LOCUST,30.9,3,93,
5346,N,WINTHROP,307,,75,HONEY LOCUST,23.9,3,72,
5349,N,WINTHROP,307,,63,HONEY LOCUST,20.1,3,60,
5352,N,WINTHROP,307,,90,HONEY LOCUST,28.7,3,86,
5404,N,WINTHROP,307,,85,HONEY LOCUST,27.1,3,81,
5411,N,WINTHROP,307,,69,HONEY LOCUST,22.0,3,66,
5411,N,WINTHROP,307,,69,HONEY LOCUST,22.0,3,66,
5422,N,WINTHROP,307,,96,HONEY LOCUST,30.6,3,92,
5423,N,WINTHROP,307,,69,HONEY LOCUST,22.0,3,66,
5428,N,WINTHROP,307,,104,SIBERIAN ELM,33.1,2,66,
5428,N,WINTHROP,307,,63,MISSING,20.1,4,80,
5443,N,WINTHROP,307,,82,AMERICAN ELM,26.1,4,104,
5444,N,WINTHROP,307,,74,HONEY LOCUST,23.6,3,71,
5449,N,WINTHROP,307,,72,HONEY LOCUST,22.9,3,69,
5515,N,WINTHROP,307,,61,HONEY LOCUST,19.4,3,58,
5515,N,WINTHROP,307,,82,AMERICAN ELM,26.1,4,104,
5515,N,WINTHROP,307,,69,AMERICAN ELM,22.0,4,88,
5517,N,WINTHROP,307,,69,AMERICAN ELM,22.0,4,88,
5517,N,WINTHROP,307,,82,AMERICAN ELM,26.1,4,104,
5539,N,WINTHROP,307,,83,HONEY LOCUST,26.4,3,79,
5620,N,WINTHROP,307,,97,HACKENBERRY,30.9,2,62,
5624,N,WINTHROP,307,,80,HACKENBERRY,25.5,2,51,
5626,N,WINTHROP,307,,73,HACKENBERRY,23.2,2,46,
5630,N,WINTHROP,307,,74,HACKENBERRY,23.6,2,47,
5636,N,WINTHROP,307,,67,HACKENBERRY,21.3,2,43,
5638,N,WINTHROP,307,,72,HACKENBERRY,22.9,2,46,
5644,N,WINTHROP,307,,80,HACKENBERRY,25.5,2,51,
5648,N,WINTHROP,307,,64,HACKENBERRY,20.4,2,41,
5648,N,WINTHROP,307,,65,HACKENBERRY,20.7,2,41,
5650,N,WINTHROP,307,,80,HACKENBERRY,25.5,2,51,
5653,N,WINTHROP,307,,88,HACKENBERRY,28.0,2,56,
5653,N,WINTHROP,307,,85,HACKENBERRY,27.1,2,54,
5653,N,WINTHROP,307,,97,HACKENBERRY,30.9,2,62,
5653,N,WINTHROP,307,,86,HACKENBERRY,27.4,2,55,
1013,W,BALMORAL,307,,90,HONEY LOCUST,28.7,3,86,
1014,W,BALMORAL,307,,64,HONEY LOCUST,20.4,3,61,
1014,W,BALMORAL,307,,62,HONEY LOCUST,19.7,3,59,
1016,W,BALMORAL,307,,72,HONEY LOCUST,22.9,3,69,
1016,W,BALMORAL,307,,70,HONEY LOCUST,22.3,3,67,
1019,W,BALMORAL,307,,76,HONEY LOCUST,24.2,3,73,
1023,W,BALMORAL,307,,75,HONEY LOCUST,23.9,3,72,
1029,W,BALMORAL,307,,72,HONEY LOCUST,22.9,3,69,
1057,W,BALMORAL,307,,67,HONEY LOCUST,21.3,3,64,
1059,W,BALMORAL,307,,70,HONEY LOCUST,22.3,3,67,
1106,W,BALMORAL,307,,74,AMERICAN ELM,23.6,4,94,
1014,W,BERWYN,307,,69,HONEY LOCUST,22.0,3,66,
1016,W,BERWYN,307,,83,HONEY LOCUST,26.4,3,79,
1017,W,BERWYN,307,,62,NORWAY MAPLE,19.7,4.5,89,
1023,W,BERWYN,307,,98,HONEY LOCUST,31.2,3,94,
1038,W,BERWYN,307,,70,SILVER MAPLE,22.3,3,67,
1044,W,BERWYN,307,,93,HONEY LOCUST,29.6,3,89,
1044,W,BERWYN,307,,100,HONEY LOCUST,31.8,3,95,
1050,W,BERWYN,307,,88,HONEY LOCUST,28.0,3,84,
1056,W,BERWYN,307,,85,HONEY LOCUST,27.1,3,81,
1057,W,BERWYN,307,,66,HONEY LOCUST,21.0,3,63,
5200,N,KENMORE,307,,71,HONEY LOCUST,22.6,3,68,
5202,N,KENMORE,307,,60,NORWAY MAPLE,19.1,4.5,86,
5218,N,KENMORE,307,,73,HONEY LOCUST,23.2,3,70,
5220,N,KENMORE,307,,71,HONEY LOCUST,22.6,3,68,
5229,N,KENMORE,307,,66,NORWAY MAPLE,21.0,4.5,95,
5240,N,KENMORE,307,,80,HONEY LOCUST,25.5,3,77,
5312,N,KENMORE,307,,62,HONEY LOCUST,19.7,3,59,
5312,N,KENMORE,307,,77,SILVER MAPLE,24.5,3,74,
5330,N,KENMORE,307,,65,HONEY LOCUST,20.7,3,62,
5330,N,KENMORE,307,,65,HONEY LOCUST,20.7,3,62,
5340,N,KENMORE,307,,75,HONEY LOCUST,23.9,3,72,
5350,N,KENMORE,307,,82,HONEY LOCUST,26.1,3,78,
5351,N,KENMORE,307,,75,HONEY LOCUST,23.9,3,72,
5354,N,KENMORE,307,,92,HONEY LOCUST,29.3,3,88,
5357,N,KENMORE,307,,75,HONEY LOCUST,23.9,3,72,
5401,N,KENMORE,307,,63,HONEY LOCUST,20.1,3,60,
5401,N,KENMORE,307,,75,HONEY LOCUST,23.9,3,72,
5402,N,KENMORE,307,,74,HONEY LOCUST,23.6,3,71,
BROKEN! NEEDS FIXING: 5420,N,KENMORE,307,,62,ASH,19.7,,0,
5427,N,KENMORE,307,,60,NORWAY MAPLE,19.1,4.5,86,
5430,N,KENMORE,307,,78,HONEY LOCUST,24.8,3,74,
5430,N,KENMORE,307,,115,SIBERIAN ELM,36.6,2,73,
5439,N,KENMORE,307,,73,HONEY LOCUST,23.2,3,70,
5440,N,KENMORE,307,,86,HONEY LOCUST,27.4,3,82,
5445,N,KENMORE,307,,61,HONEY LOCUST,19.4,3,58,
5451,N,KENMORE,307,,67,LINDEN,21.3,3,64,
5458,N,KENMORE,307,,76,HONEY LOCUST,24.2,3,73,
5506,N,KENMORE,307,,68,SUGAR MAPLE,21.7,5.5,119,
5510,N,KENMORE,307,,74,HONEY LOCUST,23.6,3,71,
5514,N,KENMORE,307,,78,HONEY LOCUST,24.8,3,74,
5516,N,KENMORE,307,,89,HONEY LOCUST,28.3,3,85,
5522,N,KENMORE,307,,71,HONEY LOCUST,22.6,3,68,
5522,N,KENMORE,307,,66,HONEY LOCUST,21.0,3,63,
5620,N,KENMORE,307,,62,HONEY LOCUST,19.7,3,59,
5620,N,KENMORE,307,,75,AMERICAN ELM,23.9,4,96,
5630,N,KENMORE,307,,60,HACKBERRY,19.1,2,38,
5630,N,KENMORE,307,,80,HACKBERRY,25.5,2,51,
5621,N,KENMORE,307,,62,GREEN ASH,19.7,4,79,
1101,W,CATALPA,307,,61,HONEY LOCUST,19.4,3,58,
1101,W,CATALPA,307,,67,HONEY LOCUST,21.3,3,64,
1104,W,CATALPA,307,,62,HONEY LOCUST,19.7,3,59,
